UTCDateTime,INR1000_Rate
09/24/2017 13:04:58,0.00417514
09/24/2017 13:05:13,0.00417451
09/24/2017 13:05:28,0.00417514
09/24/2017 13:05:43,0.00417451
09/24/2017 13:05:58,0.00417451
09/24/2017 13:06:13,0.00417332
09/24/2017 13:06:28,0.00417451
09/24/2017 13:06:43,0.00417332
09/24/2017 13:06:58,0.00417332
09/24/2017 13:07:13,0.00417332
09/24/2017 13:07:28,0.00417332
09/24/2017 13:07:43,0.00417332
09/24/2017 13:07:58,0.00417451
09/24/2017 13:08:13,0.00416241
09/24/2017 13:08:28,0.00416722
09/24/2017 13:08:43,0.00416241
09/24/2017 13:08:58,0.00416241
09/24/2017 13:09:13,0.00416241
09/24/2017 13:09:28,0.00416241
09/24/2017 13:09:43,0.00415487
09/24/2017 13:09:58,0.0041557
09/24/2017 13:10:13,0.00416722
09/24/2017 13:10:28,0.0041557
09/24/2017 13:10:43,0.00415487
09/24/2017 13:10:58,0.00415487
09/24/2017 13:11:13,0.00415487
09/24/2017 13:11:28,0.00415487
09/24/2017 13:11:43,0.00415487
09/24/2017 13:11:58,0.00415811
09/24/2017 13:12:13,0.00415529
09/24/2017 13:12:28,0.00415529
09/24/2017 13:12:43,0.00415811
09/24/2017 13:12:58,0.00415811
09/24/2017 13:13:13,0.00415532
09/24/2017 13:13:28,0.00415487
09/24/2017 13:13:43,0.00415532
09/24/2017 13:13:58,0.00415529
09/24/2017 13:14:13,0.00415532
09/24/2017 13:14:28,0.00415532
09/24/2017 13:14:43,0.00415532
09/24/2017 13:14:58,0.00415318
09/24/2017 13:15:13,0.00415318
09/24/2017 13:15:28,0.00415318
09/24/2017 13:15:43,0.00415318
09/24/2017 13:15:58,0.00415087
09/24/2017 13:16:13,0.00415301
09/24/2017 13:16:28,0.00415087
09/24/2017 13:16:43,0.00415087
09/24/2017 13:16:58,0.00415301
09/24/2017 13:17:13,0.00415087
09/24/2017 13:17:28,0.00414626
09/24/2017 13:17:43,0.00415087
09/24/2017 13:17:58,0.00414626
09/24/2017 13:18:13,0.00414626
09/24/2017 13:18:28,0.00414626
09/24/2017 13:18:43,0.00414398
09/24/2017 13:18:58,0.00414398
09/24/2017 13:19:13,0.00414398
09/24/2017 13:19:28,0.00414398
09/24/2017 13:19:43,0.00414398
09/24/2017 13:19:58,0.00414398
09/24/2017 13:20:13,0.00414263
09/24/2017 13:20:28,0.0041448
09/24/2017 13:20:43,0.0041448
09/24/2017 13:20:58,0.0041448
09/24/2017 13:21:13,0.0041448
09/24/2017 13:21:28,0.0041456
09/24/2017 13:21:43,0.0041456
09/24/2017 13:21:58,0.0041456
09/24/2017 13:22:13,0.00414818
09/24/2017 13:22:28,0.00414818
09/24/2017 13:22:43,0.00414818
09/24/2017 13:22:58,0.00414818
09/24/2017 13:23:13,0.0041456
09/24/2017 13:23:28,0.00414263
09/24/2017 13:23:43,0.00414818
09/24/2017 13:23:58,0.00415159
09/24/2017 13:24:13,0.00415159
09/24/2017 13:24:28,0.00415159
09/24/2017 13:24:43,0.00415159
09/24/2017 13:24:58,0.00415159
09/24/2017 13:25:13,0.00415173
09/24/2017 13:25:28,0.00415159
09/24/2017 13:25:43,0.00415022
09/24/2017 13:25:58,0.00414993
09/24/2017 13:26:13,0.00414993
09/24/2017 13:26:28,0.00415173
09/24/2017 13:26:43,0.00415173
09/24/2017 13:26:58,0.00414985
09/24/2017 13:27:13,0.00415173
09/24/2017 13:27:28,0.00414985
09/24/2017 13:27:43,0.00414993
09/24/2017 13:27:58,0.00414985
09/24/2017 13:28:13,0.00414985
09/24/2017 13:28:28,0.00415039
09/24/2017 13:28:43,0.00415039
09/24/2017 13:28:58,0.00414985
09/24/2017 13:29:13,0.00415079
09/24/2017 13:29:28,0.00415079
09/24/2017 13:29:43,0.00415079
09/24/2017 13:29:58,0.00414985
09/24/2017 13:30:13,0.00415091
09/24/2017 13:30:28,0.00415039
09/24/2017 13:30:43,0.00415091
09/24/2017 13:30:58,0.00415091
09/24/2017 13:31:13,0.00415091
09/24/2017 13:31:28,0.00415111
09/24/2017 13:31:43,0.00415111
09/24/2017 13:31:59,0.00415079
09/24/2017 13:32:13,0.00414892
09/24/2017 13:32:28,0.00414892
09/24/2017 13:32:43,0.00414892
09/24/2017 13:32:58,0.00414892
09/24/2017 13:38:43,0.00412893
09/24/2017 13:38:58,0.00412543
09/24/2017 13:39:13,0.00413053
09/24/2017 13:39:28,0.00413665
09/24/2017 13:39:43,0.00412893
09/24/2017 13:39:58,0.00413146
09/24/2017 13:40:13,0.00413053
09/24/2017 13:40:28,0.00413053
09/24/2017 13:40:43,0.00413053
09/24/2017 13:40:58,0.00413267
09/24/2017 13:41:13,0.00413053
09/24/2017 13:41:28,0.00413146
09/24/2017 13:41:43,0.00413267
09/24/2017 13:41:58,0.00413267
09/24/2017 13:42:13,0.0041328
09/24/2017 13:42:28,0.00413267
09/24/2017 13:42:43,0.00413586
09/24/2017 13:42:58,0.0041328
09/24/2017 13:43:13,0.00413267
09/24/2017 13:43:28,0.00413586
09/24/2017 13:43:43,0.00413586
09/24/2017 13:43:58,0.00413586
09/24/2017 13:44:13,0.00413586
09/24/2017 13:44:28,0.00413586
09/24/2017 13:44:43,0.00413586
09/24/2017 13:44:58,0.00413547
09/24/2017 13:45:13,0.0041368
09/24/2017 13:45:28,0.0041368
09/24/2017 13:45:43,0.0041368
09/24/2017 13:45:58,0.0041368
09/24/2017 13:46:13,0.0041368
09/24/2017 13:46:28,0.00413635
09/24/2017 13:46:43,0.00413547
09/24/2017 13:46:58,0.00413635
09/24/2017 13:47:13,0.00413855
09/24/2017 13:47:28,0.00413855
09/24/2017 13:47:43,0.00413855
09/24/2017 13:47:59,0.00413855
09/24/2017 13:48:13,0.00413855
09/24/2017 13:48:28,0.00413851
09/24/2017 13:48:43,0.00413851
09/24/2017 13:48:58,0.00413855
09/24/2017 13:49:13,0.00413844
09/24/2017 13:49:28,0.00413851
09/24/2017 13:49:43,0.00413844
09/24/2017 13:49:58,0.00413844
09/24/2017 13:50:13,0.00413635
09/24/2017 13:50:28,0.00413844
09/24/2017 13:50:43,0.00413692
09/24/2017 13:50:58,0.00413844
09/24/2017 13:51:13,0.00413745
09/24/2017 13:51:28,0.00413692
09/24/2017 13:51:43,0.00413745
09/24/2017 13:51:58,0.00413745
09/24/2017 13:52:13,0.00413745
09/24/2017 13:52:28,0.00413896
09/24/2017 13:52:43,0.00413896
09/24/2017 13:52:58,0.00413745
09/24/2017 13:53:13,0.00413896
09/24/2017 13:53:28,0.00413896
09/24/2017 13:53:43,0.00413692
09/24/2017 13:53:58,0.00413921
09/24/2017 13:54:13,0.00413917
09/24/2017 13:54:28,0.00413917
09/24/2017 13:54:43,0.00413921
09/24/2017 13:54:58,0.00413921
09/24/2017 13:55:13,0.0041384
09/24/2017 13:55:28,0.00413917
09/24/2017 13:55:43,0.0041384
09/24/2017 13:55:58,0.0041384
09/24/2017 13:56:13,0.0041384
09/24/2017 13:56:28,0.00413854
09/24/2017 13:56:43,0.0041384
09/24/2017 13:56:59,0.00413854
09/24/2017 13:57:13,0.0041369
09/24/2017 13:57:28,0.00413854
09/24/2017 13:57:43,0.0041369
09/24/2017 13:57:58,0.0041369
09/24/2017 13:58:13,0.00413615
09/24/2017 13:58:28,0.0041369
09/24/2017 13:58:43,0.00413615
09/24/2017 13:58:58,0.00413615
09/24/2017 13:59:13,0.00413615
09/24/2017 13:59:28,0.00413615
09/24/2017 13:59:43,0.00413615
09/24/2017 13:59:58,0.00413689
09/24/2017 14:00:13,0.00413615
09/24/2017 14:00:29,0.00413993
09/24/2017 14:00:43,0.00413993
09/24/2017 14:00:58,0.00413993
09/24/2017 14:01:13,0.00413993
09/24/2017 14:01:28,0.00414336
09/24/2017 14:01:43,0.00414336
09/24/2017 14:01:59,0.00413689
09/24/2017 14:02:13,0.00413993
09/24/2017 14:02:28,0.00414336
09/24/2017 14:02:43,0.00414172
09/24/2017 14:02:58,0.00414172
09/24/2017 14:03:13,0.00414172
09/24/2017 14:03:28,0.00414269
09/24/2017 14:03:43,0.00414172
09/24/2017 14:03:58,0.00414282
09/24/2017 14:04:13,0.00414282
09/24/2017 14:04:28,0.00414282
09/24/2017 14:04:43,0.00414282
09/24/2017 14:04:58,0.00414269
09/24/2017 14:05:13,0.00414282
09/24/2017 14:05:28,0.00414269
09/24/2017 14:05:48,0.00414183
09/24/2017 14:05:58,0.00414183
09/24/2017 14:06:13,0.00414183
09/24/2017 14:06:28,0.00414183
09/24/2017 14:06:43,0.00414183
09/24/2017 14:06:58,0.00414183
09/24/2017 14:07:13,0.00414586
09/24/2017 14:07:29,0.00414586
09/24/2017 14:07:43,0.00414586
09/24/2017 14:07:58,0.00414586
09/24/2017 14:08:13,0.00414586
09/24/2017 14:08:28,0.00415508
09/24/2017 14:08:43,0.00415508
09/24/2017 14:08:58,0.00415508
09/24/2017 14:09:13,0.00415508
09/24/2017 14:09:28,0.00415508
09/24/2017 14:09:43,0.0041581
09/24/2017 14:09:58,0.00414586
09/24/2017 14:10:13,0.0041581
09/24/2017 14:10:28,0.0041581
09/24/2017 14:10:43,0.00415854
09/24/2017 14:10:58,0.00415854
09/24/2017 14:11:16,0.00415854
09/24/2017 14:11:28,0.0041581
09/24/2017 14:11:43,0.00415854
09/24/2017 14:11:58,0.00415378
09/24/2017 14:12:13,0.00415854
09/24/2017 14:12:28,0.00415389
09/24/2017 14:12:43,0.00415389
09/24/2017 14:12:58,0.00415378
09/24/2017 14:13:13,0.00415378
09/24/2017 14:13:28,0.00415808
09/24/2017 14:13:43,0.00415808
09/24/2017 14:13:58,0.00415808
09/24/2017 14:14:13,0.00416225
09/24/2017 14:14:28,0.00415808
09/24/2017 14:14:43,0.00415378
09/24/2017 14:14:58,0.00416533
09/24/2017 14:15:13,0.00416533
09/24/2017 14:15:28,0.00416225
09/24/2017 14:15:43,0.00416533
09/24/2017 14:15:58,0.00416533
09/24/2017 14:16:13,0.00416274
09/24/2017 14:16:28,0.00416533
09/24/2017 14:16:43,0.00416274
09/24/2017 14:16:59,0.00416274
09/24/2017 14:17:13,0.00416533
09/24/2017 14:17:28,0.00416274
09/24/2017 14:17:43,0.00416274
09/24/2017 14:17:58,0.00416028
09/24/2017 14:18:13,0.00416028
09/24/2017 14:18:29,0.00416028
09/24/2017 14:18:43,0.00416028
09/24/2017 14:18:58,0.00416028
09/24/2017 14:19:13,0.00415723
09/24/2017 14:33:31,0.00416268
09/24/2017 14:33:46,0.00416028
09/24/2017 14:34:01,0.00415476
09/24/2017 14:34:16,0.00415723
09/24/2017 14:34:32,0.00415476
09/24/2017 14:34:46,0.00415476
09/24/2017 14:35:01,0.00415476
09/24/2017 14:35:16,0.00415476
09/24/2017 14:35:31,0.00415476
09/24/2017 14:35:46,0.00415476
09/24/2017 14:37:09,0.00415476
09/24/2017 14:37:22,0.00415476
09/24/2017 14:37:38,0.00415476
09/24/2017 14:37:52,0.00416021
09/24/2017 14:38:08,0.00415524
09/24/2017 14:38:23,0.00415524
09/24/2017 14:38:39,0.00416021
09/24/2017 14:38:53,0.00416021
09/24/2017 14:39:08,0.00416021
09/24/2017 14:39:23,0.00415524
09/24/2017 14:39:38,0.00416149
09/24/2017 14:44:27,0.00416149
09/24/2017 14:44:41,0.00416149
09/24/2017 14:44:56,0.00415611
09/24/2017 14:45:11,0.00416021
09/24/2017 14:45:25,0.00416107
09/24/2017 14:45:40,0.00415611
09/24/2017 14:45:56,0.00415611
09/24/2017 14:46:10,0.00415611
09/24/2017 14:47:30,0.00415611
09/24/2017 14:47:44,0.00416107
09/24/2017 14:48:00,0.00415567
09/24/2017 14:48:14,0.00415747
09/24/2017 14:48:30,0.00415611
